Z,h,K,T,persistence,biomass,stability,diversity
1.0,1.0,0.1,283.15,0.5,"[0.10000000802474505, 0.09999476445003704, 0.09999991197775666, 0.09999946706665956, 0.00023694712098175748, 0.09999958256025687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09952189195883286, 0.0, 0.0, 0.0005351801873111739, 0.09942838388402446, 5.667599624488798e-6, 0.0]",-0.02179490911236115,0.8482386101703204
1.0,1.0,0.1,288.15,0.43274999999999997,"[0.10000000000038506, 0.09999999974189269, 0.09999999999483632, 0.09999999997434723, 6.430448834258724e-7, 0.09999999997956224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09999997389501064, 0.0, 0.0, 2.104261478236614e-6, 0.09999996882247258, 0.0, 0.0]",-0.011232506146677554,0.9029497623314664
1.0,1.0,0.1,293.15,0.35,"[0.10000000001280457, 0.09999999124550853, 0.0999999997862022, 0.0999999991443949, 0.0, 0.09999999930578728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0999990093885539, 0.0, 0.0, 0.0, 0.09999882186869945, 0.0, 0.0]",-1.2143315550099302e-6,0.9999999999928503
1.0,1.0,0.1,298.15,0.35,"[0.10000000009735015, 0.09999993227642412, 0.09999999792875991, 0.09999999345831792, 0.0, 0.09999999458773652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09997463534422114, 0.0, 0.0, 0.0, 0.09995886852484154, 0.0, 0.0]",-8.091351294781645e-5,0.9999999892270931
1.0,1.0,0.1,303.15,0.35,"[0.10000000000077833, 0.09999999945538016, 0.09999999997843659, 0.09999999994747089, 0.0, 0.09999999995562259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0999992687347709, 0.0, 0.0, 0.0, 0.0999854508202846, 0.0, 0.0]",-0.00011356660700168515,0.9999999813826846
1.0,1.0,0.16681005372000587,283.15,0.5,"[0.16681003538653286, 0.16679479140655426, 0.1668097940830509, 0.16680852626273573, 0.0002447666635692972, 0.1668088518710706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16555772325601864, 0.0, 0.0, 0.0005375919850021008, 0.1653050205780965, 5.679063412709784e-6, 0.0]",-0.021878890823146643,0.847153072324777
1.0,1.0,0.16681005372000587,288.15,0.45,"[0.1668100537189435, 0.16681005280059888, 0.16681005370254945, 0.1668100536312306, 2.971907544630979e-6, 0.1668100536490702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16680997061106378, 0.0, 0.0, 6.489412950775054e-6, 0.16680995378853203, 0.0, 0.0]",-0.026167481159956756,0.8856638877632852
1.0,1.0,0.16681005372000587,293.15,0.35,"[0.16681005319060113, 0.16680957873650185, 0.16681004343175834, 0.1668100092913211, 0.0, 0.16681001763739825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16676371835779435, 0.0, 0.0, 0.0, 0.16675434384301763, 0.0, 0.0]",-1.666110673061145e-5,0.9999999948793261
1.0,1.0,0.16681005372000587,298.15,0.35,"[0.16681005356675943, 0.16680991137376522, 0.16681005011851235, 0.16681004080647155, 0.0, 0.16681004305012773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16675104994088252, 0.0, 0.0, 0.0, 0.1666870827120305, 0.0, 0.0]",-8.447972190288713e-5,0.9999999763482242
1.0,1.0,0.16681005372000587,303.15,0.35,"[0.16681005371400207, 0.16681004993249313, 0.16681005361840018, 0.16681005321167783, 0.0, 0.16681005329231602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16680752143368693, 0.0, 0.0, 0.0, 0.1667615700344383, 0.0, 0.0]",-0.00012726127385299466,0.9999999748026879
1.0,1.0,0.2782559402207124,283.15,0.5,"[0.2782558212922336, 0.27821217303136214, 0.27825519478711574, 0.2782516233260043, 0.00025033013785235393, 0.27825253489944807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27488529895206026, 0.0, 0.0, 0.0005391622066714299, 0.274197829187093, 5.686487945340513e-6, 0.0]",-0.02201971291931289,0.8464267386322336
1.0,1.0,0.2782559402207124,288.15,0.45,"[0.27825594021515554, 0.27825593807150206, 0.27825594018150307, 0.2782559400184106, 2.5629387526755715e-6, 0.2782559400588067, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2782557629111783, 0.0, 0.0, 5.4512574306317525e-6, 0.278255725822794, 0.0, 0.0]",-0.003912905870985407,0.8856444984800479
1.0,1.0,0.2782559402207124,293.15,0.35,"[0.27825593878194643, 0.2782553562765389, 0.27825592860768217, 0.2782558876273274, 0.0, 0.2782558974882951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27820485881758206, 0.0, 0.0, 0.0, 0.27819420944480666, 0.0, 0.0]",-4.9804175074847695e-6,0.9999999978125733
1.0,1.0,0.2782559402207124,298.15,0.35,"[0.27825593990003916, 0.27825580314129034, 0.2782559372021254, 0.2782559284591082, 0.0, 0.27825593051136116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2781969493786973, 0.0, 0.0, 0.0, 0.27812128002997566, 0.0, 0.0]",-0.00010094177177213074,0.9999999843997527
1.0,1.0,0.2782559402207124,303.15,0.35,"[0.27825594019825045, 0.2782559337055264, 0.27825594007114035, 0.27825593939159826, 0.0, 0.2782559395249482, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27825285998019195, 0.0, 0.0, 0.0, 0.27821426940489347, 0.0, 0.0]",-0.00011473763323018702,0.9999999818912305
1.0,1.0,0.4641588833612779,283.15,0.5,"[0.46415844093226005, 0.4640351126476994, 0.46415677952610507, 0.4641468085173242, 0.00025405761372046813, 0.46414934425839166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4551500462599289, 0.0, 0.0, 0.0005401439806442167, 0.4532979606314727, 5.691058575789821e-6, 0.0]",-0.02224129342553758,0.8459394708795767
1.0,1.0,0.4641588833612779,288.15,0.4401,"[0.4641588833442897, 0.46415887832244956, 0.4641588832719404, 0.46415888289623003, 8.751623937465787e-7, 0.46415888298876085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.464158489764457, 0.0, 0.0, 2.217853533618495e-6, 0.46415840643508766, 0.0, 0.0]",-0.009135117842394408,0.8955600368024468
1.0,1.0,0.4641588833612779,293.15,0.35,"[0.4641588823852386, 0.4641585765349964, 0.4641588776109454, 0.46415885654207456, 0.0, 0.4641588615652304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.464134132145463, 0.0, 0.0, 0.0, 0.4641288475844238, 0.0, 0.0]",-2.3277655947873517e-6,0.9999999998124622
1.0,1.0,0.4641588833612779,298.15,0.35,"[0.464158882183383, 0.46415848639988855, 0.46415887545185486, 0.4641588508673921, 0.0, 0.4641588565554838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4640161630834244, 0.0, 0.0, 0.0, 0.463806562426121, 0.0, 0.0]",-7.953175339294977e-5,0.999999976285479
1.0,1.0,0.4641588833612779,303.15,0.35,"[0.46415888329846405, 0.4641588690183401, 0.4641588830672607, 0.46415888161889707, 0.0, 0.46415888190153853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46415322573427475, 0.0, 0.0, 0.0, 0.4640898811256427, 0.0, 0.0]",-0.00011579351173207805,0.9999999817090529
1.0,1.0,0.7742636826811271,283.15,0.5,"[0.7742622726607498, 0.7739174320433755, 0.7742578046220416, 0.7742301275513181, 0.0002564512707708369, 0.7742371503526835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7498984257854903, 0.0, 0.0, 0.0005407378980276104, 0.7449063481034963, 5.693736679648306e-6, 0.0]",-0.022600257859075552,0.8455959371202376
1.0,1.0,0.7742636826811271,288.15,0.45,"[0.7742636826121904, 0.7742636646253106, 0.774263682366642, 0.774263681035568, 3.1630978225875065e-6, 0.7742636813622586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7742623358531933, 0.0, 0.0, 6.53016555679652e-6, 0.7742620460067098, 0.0, 0.0]",-0.026172538991686776,0.8856323852560043
1.0,1.0,0.7742636826811271,293.15,0.35,"[0.7742636791929364, 0.7742627060005093, 0.7742636650770461, 0.774263599099928, 0.0, 0.7742636147460622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7741882661840546, 0.0, 0.0, 0.0, 0.774171931429716, 0.0, 0.0]",-5.4387052613798e-6,0.9999999993651248
1.0,1.0,0.7742636826811271,298.15,0.35,"[0.7742636820311581, 0.774263485841495, 0.7742636789980463, 0.7742636670479726, 0.0, 0.7742636697894038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7742146440936492, 0.0, 0.0, 0.0, 0.7741700957847113, 0.0, 0.0]",-0.00019072193527801596,0.9999999731383554
1.0,1.0,0.7742636826811271,303.15,0.35,"[0.7742636825082202, 0.7742636469306201, 0.7742636820045385, 0.7742636784972236, 0.0, 0.7742636791797196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.774250596074805, 0.0, 0.0, 0.0, 0.7740591330744041, 0.0, 0.0]",-8.824472668266103e-5,0.999999987337275
1.0,1.0,1.2915496650148839,283.15,0.5,"[1.2915454246141456, 1.2905776491191323, 1.2915331862545758, 1.2914558974887116, 0.0002579588948447849, 1.291475482875733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2256890108593381, 0.0, 0.0, 0.0005411165101629884, 1.2124402162515817, 5.6955352986241285e-6, 0.0]",-0.02317845188244504,0.8453039676810876
1.0,1.0,1.2915496650148839,288.15,0.45,"[1.291549664923859, 1.291549642670159, 1.2915496646302105, 1.2915496629958727, 2.1998671747809187e-6, 1.291549663396178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2915480204958978, 0.0, 0.0, 4.507830887608009e-6, 1.2915476670934325, 0.0, 0.0]",-0.02614887202566538,0.8856265323444409
1.0,1.0,1.2915496650148839,293.15,0.35,"[1.291549656280341, 1.2915473616622526, 1.2915496244906068, 1.2915494705378314, 0.0, 1.29154950693151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2913785067103527, 0.0, 0.0, 0.0, 1.2913409780625846, 0.0, 0.0]",-1.641111796625511e-5,0.9999999986851384
1.0,1.0,1.2915496650148839,298.15,0.35,"[1.2915496653484895, 1.291549761245509, 1.2915496667366846, 1.2915496724719353, 0.0, 1.2915496711626862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2915727617804325, 0.0, 0.0, 0.0, 1.2915941705140845, 0.0, 0.0]",-0.00018679304113871048,0.9999999746196571
1.0,1.0,1.2915496650148839,303.15,0.35,"[1.2915496646373967, 1.2915495906760086, 1.2915496636777117, 1.2915496565259494, 0.0, 1.2915496579151837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2915247362781748, 0.0, 0.0, 0.0, 1.2911784519786056, 0.0, 0.0]",-0.00012872303236227453,0.9999999750119098
1.0,1.0,2.154434690031884,283.15,0.5,"[2.15442236094272, 2.1517171917369984, 2.1543886328457686, 2.1541731373307758, 0.0002588915593473417, 2.1542276987169084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9778817352383045, 0.0, 0.0, 0.0005413542717993306, 1.9437170204913694, 5.696710618006918e-6, 0.0]",-0.024141915185236607,0.8449339539418287
1.0,1.0,2.154434690031884,288.15,0.45,"[2.1544346898193383, 2.1544346397471323, 2.154434689171672, 2.154434685508972, 1.7936354282009984e-6, 2.154434686404956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.154431079288075, 0.0, 0.0, 3.6584431912492785e-6, 2.1544302958194796, 0.0, 0.0]",-0.026167995326064522,0.8856242625624203
1.0,1.0,2.154434690031884,293.15,0.35,"[2.154434626887326, 2.1544185438476453, 2.154434410780321, 2.1544333410891254, 0.0, 2.1544335935021364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1531509388955032, 0.0, 0.0, 0.0, 2.1528420901638343, 0.0, 0.0]",-7.006054852111737e-5,0.9999999732237729
1.0,1.0,2.154434690031884,298.15,0.35,"[2.154434687828524, 2.1544340725484963, 2.154434679253324, 2.154434642788586, 0.0, 2.154434651087578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1542790622073693, 0.0, 0.0, 0.0, 2.1541175602531037, 0.0, 0.0]",-6.532909947689823e-5,0.9999999959623158
1.0,1.0,2.154434690031884,303.15,0.35,"[2.1544346897453845, 2.1544346349207233, 2.154434689073832, 2.154434683851004, 0.0, 2.154434684864587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1544167337739144, 0.0, 0.0, 0.0, 2.1541001253397534, 0.0, 0.0]",-0.00011410526660314789,0.9999999812076225
1.0,1.0,3.5938136638046276,283.15,0.5,"[3.593778361781192, 3.586210770474021, 3.5936847718921867, 3.5930826574095884, 0.0002594632526567188, 3.593235023012269, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.129716802411262, 0.0, 0.0, 0.0005415047648310013, 3.0451790300632404, 5.697492906471295e-6, 0.0]",-0.02556980234789178,0.844245994552917
