Z,h,K,T,persistence,biomass,stability
1.0,1.0,0.1,283.15,0.25,"[0.10000000050625106, 0.0, 0.0, 0.03546001663125823, 0.0, 0.03546001663125827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025779354749753153, 0.0, 0.0, 0.0, 0.0072509415417334145, 0.0, 0.0, 0.0]",-6.128580342067071e-5
1.0,1.0,0.1,288.15,0.25,"[0.1000402703344999, 0.0, 0.0, 0.04255203405882933, 0.0, 0.04255203405882931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03184656119739622, 0.0, 0.0, 0.0, 0.007498490337866561, 0.0, 0.0, 0.0]",-2.7881091223504055e-5
1.0,1.0,0.1,293.15,0.3,"[0.10002899788077016, 0.0, 0.04520164577415436, 0.04520164577415436, 0.0, 0.04520164577415436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04175905291340585, 0.0, 0.0, 0.0, 0.022430093068851024, 0.0, 0.0, 0.0]",-8.587865239969443e-5
1.0,1.0,0.1,298.15,0.35,"[0.10005863484538638, 0.04848519030399392, 0.04848519030399392, 0.04848519030399392, 0.0, 0.04848519030399392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05343104391724164, 0.0, 0.0, 0.0, 0.03931809170917077, 0.0, 0.0, 0.0]",-5.232917650117868e-5
1.0,1.0,0.1,303.15,0.35,"[0.09999999999999987, 0.054330564036049585, 0.054330564036049585, 0.054330564036049585, 0.0, 0.054330564036049585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06372288800433125, 0.0, 0.0, 0.0, 0.03946865479448264, 0.0, 0.0, 0.0]",-0.00047375408440593364
1.0,1.0,0.16681005372000587,283.15,0.25,"[0.166810053720006, 0.0, 0.0, 0.04988157824324633, 0.0, 0.04988157824324936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02789933252581689, 0.0, 0.0, 0.0, 0.019905822260467016, 0.0, 0.0, 0.0]",-0.000293887978936882
1.0,1.0,0.16681005372000587,288.15,0.25,"[0.166810053720006, 0.0, 0.0, 0.06212755123673078, 0.0, 0.06212755123673078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03479237430179998, 0.0, 0.0, 0.0, 0.024463292663031492, 0.0, 0.0, 0.0]",-0.0002953639097636512
1.0,1.0,0.16681005372000587,293.15,0.3,"[0.166810053720006, 0.0, 0.06529151120184651, 0.06529151120184651, 0.0, 0.06529151120184651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046573675744355746, 0.0, 0.0, 0.0, 0.04877811166273034, 0.0, 0.0, 0.0]",-0.0005979851893260586
1.0,1.0,0.16681005372000587,298.15,0.35,"[0.166810053720006, 0.07034820542869988, 0.07034820542869988, 0.07034820542869988, 0.0, 0.07034820542869988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059994821114461576, 0.0, 0.0, 0.0, 0.07717861216500344, 0.0, 0.0, 0.0]",-0.0013976844827199447
1.0,1.0,0.16681005372000587,303.15,0.35,"[0.1668101496528582, 0.08109075419986934, 0.08109075419986934, 0.08109075419986934, 0.0, 0.08109075419986934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07202091851174533, 0.0, 0.0, 0.0, 0.08576513218603489, 0.0, 0.0, 0.0]",-0.0010760587517973604
